,Times,User,Tweet
38,2022-06-28 09:57:51,ArmaniMispa,"RT @DeadlineDayLive: 🚨 Jorge Mendes offered Inter Milan the chance to sign Cristiano Ronaldo but they rejected him. 

(Source: La Repubblic…"
39,2022-06-28 09:57:50,SportBibleNews,🔔 | Cristiano Ronaldo's Transfer Saga Is A Ploy By Super-Agent Jorge Mendes https://t.co/H5IVoWUJiG
40,2022-06-28 09:57:46,Ad_mJunior,RT @cr7raprhymes: Cristiano Ronaldo is building a monster no one is ready for 👀⏳ https://t.co/0pJQhXFtnp
41,2022-06-28 09:57:45,Onlyone1NFT,@GOALAfrica Ronaldo
42,2022-06-28 09:57:45,AmpaduNeymar,RT @prfootbalI: The most emotional Cristiano Ronaldo pic of last season.💔 https://t.co/9pXtqrfrCL
43,2022-06-28 09:57:44,AndresTovar3011,RT @Vettel_AMR: Ronaldo scoring this in a UCL semi final isn’t normal btw… https://t.co/drbGlYputx
44,2022-06-28 09:57:43,JnrMuthengi,"RT @Football__Tweet: The day Ashley Cole pocketed Cristiano Ronaldo. 🏴󠁧󠁢󠁥󠁮󠁧󠁿😳

🎥 @EURO2024

 https://t.co/m9LUCihHoH"
45,2022-06-28 09:57:42,zanettitude,RT @dani7mendo: El único que puede imitar un gol de Cristiano Ronaldo es el propio Cristiano  https://t.co/Z7lK8OzkaE
46,2022-06-28 09:57:40,Madibain,"RT @mrmacaronii: If Ronaldo joins Chelsea, I become a Chelsea fan. 
Any club Cristiano Ronaldo goes, I follow 😭"
47,2022-06-28 09:57:40,sak_stories,"RT @flyingronaldo: Review

""I loved how full of action and adventure the book is, and that friendship place such an important role in it. I…"
48,2022-06-28 09:57:39,Esi___Appiah,"RT @iambaronreigns: The Attention 

@_QueenArthur @gyaigyimii @kwadwosheldon @davidentertaina 

De Jong Neymar Ronaldo Man U Arsenal Fabriz…"
49,2022-06-28 09:57:39,Diario_de_ibiza,El valor de los objetos robados podría ascender a los tres millones de euros https://t.co/bLXS4i9T0T
50,2022-06-28 09:57:39,thisIs_SK,Eskom is Ronaldo and SA is Lithuania https://t.co/ZeDxqYowS5
51,2022-06-28 09:57:38,ChimaobiEkwo,RT @goal: What was Cristiano Ronaldo's best attacking trio? 🤔 https://t.co/ZgGlW2m7ht
52,2022-06-28 09:57:37,MaxenceHal,"RT @Amaurinho7ii: Cristiano Ronaldo, le maestro du milieu de terrain, est devenu le meilleur buteur de tous les temps. https://t.co/5VO5P5w…"
53,2022-06-28 09:57:35,CashSnipez,"@LilJackonwski è factos, Ronaldo è il giocatore più iconico
Messi però è il migliore 🤷🏻‍♂️"
54,2022-06-28 09:57:35,Rangnazi,Ronaldo hasn't played a single competitive match with Chiesa and Dybala. https://t.co/q8PFs0VcVA
55,2022-06-28 09:57:34,alediazzz23,"RT @ElInmortal____: Cristiano Ronaldo en la Premier League

2008/2009, 23 años, 33 partidos, 18 goles.

2021/2022, 37 años, 30 partidos, 18…"
56,2022-06-28 09:57:34,RlSHABH,"RT @DeadlineDayLive: 🚨 Jorge Mendes offered Inter Milan the chance to sign Cristiano Ronaldo but they rejected him. 

(Source: La Repubblic…"
57,2022-06-28 09:57:34,Rodrigo76924590,"RT @cabogilberto: Urgente!
Governador do Estado de Goiás Ronaldo Caiado reduz ICMS da gasolina de 30% para 17% e diminui também diesel e en…"
58,2022-06-28 09:57:33,xOluwaseyi,@Shelbydekunle Ronaldo goat una
59,2022-06-28 09:57:31,Ahmedyaamyn,RT @cr7raprhymes: Cristiano Ronaldo is building a monster no one is ready for 👀⏳ https://t.co/0pJQhXFtnp
60,2022-06-28 09:57:31,iam_igwewisdom,@goal Sancho Ronaldo and rashford
61,2022-06-28 09:57:29,Isaacomotayo17,"RT @binance: #Binance 🤝 @Cristiano 🐐

We're kicking off an exclusive multi-year NFT partnership with football legend Cristiano Ronaldo. 

T…"
62,2022-06-28 09:57:29,PaPaganini,@Mirko92677153 @rai2 @laura__barth @marcoconterio Responsabilità deche? Dove? Cosa? Di aver detto che arriva Ronaldo alla Roma visto che il suo procuratore (lo stesso di Mourinho) lo ha offerto 15 giorni fa e ne stanno parlando? Ma per favore…
63,2022-06-28 09:57:26,grrreaze,"@77_Kiah @kusssman So they dey force Ronaldo into goat talk , hezekiah Abeg na 🤲🏾"
64,2022-06-28 09:57:23,Jaboy_190,"RT @UTDTrey: Man United have Ronaldo, Man City have Haaland, Spurs have Kane, Liverpool have Dias, Arsenal have Jesus and Chelsea have Rome…"
65,2022-06-28 09:57:19,Mcshadow69_,RT @Vettel_AMR: Ronaldo scoring this in a UCL semi final isn’t normal btw… https://t.co/drbGlYputx
66,2022-06-28 09:57:18,onlyonebishop_,@mrmacaronii What if C.Ronaldo retires?? Would u also retire???
67,2022-06-28 09:57:18,BangpitsaTebogo,RT @prfootbalI: The most emotional Cristiano Ronaldo pic of last season.💔 https://t.co/9pXtqrfrCL
68,2022-06-28 09:57:18,teejay0071,RT @cr7raprhymes: Cristiano Ronaldo is building a monster no one is ready for 👀⏳ https://t.co/0pJQhXFtnp
69,2022-06-28 09:57:17,cr17xe,RT @TimelineCR7: Cristiano Ronaldo winning the Euro 2020 golden boot while playing in the group of death isn’t talked about enough… https:/…
70,2022-06-28 09:57:16,Chasseauxmedias,"RT @breathMessi21: Man utd fans: 

If Ronaldo leaves: He deserves better. 

If he stays: He is loyal unlike Messi.

Elite fanbase😹😹"
71,2022-06-28 09:57:15,JCurtis_Dyson,@Stonertrey1 @7RCris @FOREVERRICH16 @Ak_achi17 @RonaldoW7_ @dwot2018 Lol yeah I will sleep like a baby knowing a Ronaldo fan is keeping your goat relevant 💔😆
72,2022-06-28 09:57:14,veek_torhia,RT @Katlove85: I'm always on point like Ronaldo n Messi 🌶 https://t.co/ZfikqlPvUV
73,2022-06-28 09:57:13,I_am_Michael9,"Welcome to Arsenal Football Club GJ9

Gabriel Rudiger Martinez Lisandro Bernardo Arteta David Anthony Cristiano Ronaldo Tielemans Raphinha https://t.co/XY3tFmSa7z"
74,2022-06-28 09:57:13,Francis57764581,"RT @cabogilberto: Urgente!
Governador do Estado de Goiás Ronaldo Caiado reduz ICMS da gasolina de 30% para 17% e diminui também diesel e en…"
75,2022-06-28 09:57:11,dekuu266,"RT @_le442: 🚨OFFICIEL

Cristiano Ronaldo est d’accord avec l’Olympique de Marseille pour ne pas signer chez eux. https://t.co/ZVmTonsFei"
76,2022-06-28 09:57:07,prinxe_sammy,"RT @bamalli_sadiya: Who wants a sugar Babe 🍑 😋 and I love Wizkid, Davido, Ronaldo and Rihanna Too. https://t.co/ZX7h7r6J5h"
77,2022-06-28 09:57:07,UuupapiReyes,"RT @Bbsexy21: Can I be your sugar babe😋 I like Tems, Fireboy, Big Wiz Wizkid, Brandy, Burnaboy, Ronaldo and Rihanna too 😍 https://t.co/Vij2…"
78,2022-06-28 09:57:07,chicomvg,"@tifosi_doente @wbuxtonofficial Ok, mas se ele sabe o nome do Lewis porque é que se refere a ele dessa maneira? Nunca vi ninguém a referir-se ao Ronaldo como ""o branco"". O Piquet claramente estava a usar a palavra com intuito negativo, não me venhas com estas conversas da treta."
79,2022-06-28 09:57:04,veek_torhia,"RT @kerrihope: I'm as soft as I look 🍑😋 and I love Wizkid, Davido, Ronaldo and Rihanna too. https://t.co/sxNNA2HVWk"
80,2022-06-28 09:57:03,Farouksekatawa4,RT @ESPNFC: Project Cristiano Ronaldo Jr. 🧪🔮 https://t.co/tL7ZBduVR7
81,2022-06-28 09:57:02,Williexx18,RT @WhoScored: 👀 Cristiano Ronaldo has never scored at Stamford Bridge in his career https://t.co/gEXhD99JQd
82,2022-06-28 09:57:01,lsrjaipur,"RT @lsrjaipur: two GOATs Together 🐐🙌🏻
#Ronaldo #Messi𓃵 https://t.co/KGvLsO5kRE"
83,2022-06-28 09:57:01,victor_obiagor,"@ranny_ft @goal The best of ronaldo was in Manchester united, in real Madrid he's just a tapins merchant carried by his teammates😉"
84,2022-06-28 09:57:00,Ry_N96,RT @Vettel_AMR: Ronaldo scoring this in a UCL semi final isn’t normal btw… https://t.co/drbGlYputx
85,2022-06-28 09:57:00,WhizyReigns,Bayern Munich's four crucial reasons for refusing to accept a move for Cristiano Ronaldo tell a lot - TRENDING   : Read more: https://t.co/XPngbIizYK
86,2022-06-28 09:57:00,Kinghf2,RT @UtdPlug: 🚨 Mendes is dutybound to keep Ronaldo relevant - and coveted. #MUFC players were still in the Watford dressing room and Mendes…
87,2022-06-28 09:57:00,Kaijuno9,RT @cr7raprhymes: Cristiano Ronaldo is building a monster no one is ready for 👀⏳ https://t.co/0pJQhXFtnp
88,2022-06-28 09:56:58,Suliman1984ss,RT @AkazaRM14: Cristiano Ronaldo Dos Santos Aveiro. https://t.co/0i9ZS3FjZV
89,2022-06-28 09:56:57,patmark_,"RT @UtdDistrict: 🗞 Erik ten Hag sees Cristiano Ronaldo as a certain starter, flanked by creative wingers in a balanced front three. [Samuel…"
90,2022-06-28 09:56:57,f_lmtc,"RT @ActuFoot_: Cristiano Ronaldo, alias CR9, a marqué 33 buts en 35 matches lors de sa première saison avec le Real Madrid. 🤍9️⃣ https://t.…"
91,2022-06-28 09:56:55,tevez_sm,"RT @ShanviMessi: ""Ronaldo proved himself in the Europa league Messi could never do it outside his UCL comfort zone 💀"" https://t.co/LogHvTwA…"
92,2022-06-28 09:56:55,HalaHancok,RT @goal: What was Cristiano Ronaldo's best attacking trio? 🤔 https://t.co/ZgGlW2m7ht
93,2022-06-28 09:56:55,OtabilDavid,RT @IconicCR7_: Throwback to last season when Liverpool fans showed this gesture for Cristiano Ronaldo in the 7th minute after he faced a t…
94,2022-06-28 09:56:54,ray1_huncho,RT @Vettel_AMR: Ronaldo scoring this in a UCL semi final isn’t normal btw… https://t.co/drbGlYputx
95,2022-06-28 09:56:54,Luwapel,Sancho - Ronaldo - Elanga https://t.co/CaM6NwUDsj
96,2022-06-28 09:56:53,XaviEnthusiast,Babe wake up ronaldo is getting rejected around Europe again https://t.co/ttbfWi8qHM
97,2022-06-28 09:56:53,Pacalot,RT @cr7raprhymes: Cristiano Ronaldo is building a monster no one is ready for 👀⏳ https://t.co/0pJQhXFtnp
98,2022-06-28 09:56:53,tossin_O,"RT @cgestrii: Vi ricordo che l'anno scorso il nostro mercato è stato Kaio, Kean e Locatelli (e un Ronaldo in meno)
Quest'anno non ha nemmen…"
99,2022-06-28 09:56:52,Chasseauxmedias,"RT @DeadlineDayLive: 🚨 Jorge Mendes offered Inter Milan the chance to sign Cristiano Ronaldo but they rejected him. 

(Source: La Repubblic…"
100,2022-06-28 09:56:52,stefnissa,"@blindfordylan 1) Ronaldo 
2)Zidane 
3)Rhoni 
4)Henry 
5)Figo
6)Beckam"
101,2022-06-28 09:56:52,YorkshireTomD,"RT @UtdDistrict: 🗞 Erik ten Hag sees Cristiano Ronaldo as a certain starter, flanked by creative wingers in a balanced front three. [Samuel…"
102,2022-06-28 09:56:51,thatwarriboi,RT @WhoScored: 👀 Cristiano Ronaldo has never scored at Stamford Bridge in his career https://t.co/gEXhD99JQd
103,2022-06-28 09:56:48,HaroldMoneyang,"RT @_le442: 🚨OFFICIEL

Cristiano Ronaldo est d’accord avec l’Olympique de Marseille pour ne pas signer chez eux. https://t.co/ZVmTonsFei"
104,2022-06-28 09:56:48,evdb33,"RT @buzzspor: 'Seni en çok etkileyen taraftarlar?'

Rodrygo Goes: ""Galatasaray.""

'İdolün?'

Rodrygo Goes: ""Cristiano Ronaldo.""

'Birlikte…"
105,2022-06-28 09:56:47,LeiMugiwara,Ptdrrr bien essayé mais Ronaldo a 231 Assists https://t.co/Rf2tlDz8xe
106,2022-06-28 09:56:47,KrazyBoju,RT @TimelineCR7: Throwback to when Lebron James had a fanboy moment over Cristiano Ronaldo’s bicycle kick goal against Juventus in the UCL.…
107,2022-06-28 09:56:46,lil_wech,"RT @_le442: 🚨OFFICIEL

Cristiano Ronaldo est d’accord avec l’Olympique de Marseille pour ne pas signer chez eux. https://t.co/ZVmTonsFei"
108,2022-06-28 09:56:45,IamOffcial,"RT @mrmacaronii: If Ronaldo joins Chelsea, I become a Chelsea fan. 
Any club Cristiano Ronaldo goes, I follow 😭"
109,2022-06-28 09:56:44,lsrjaipur,"two GOATs Together 🐐🙌🏻
#Ronaldo #Messi𓃵 https://t.co/KGvLsO5kRE"
110,2022-06-28 09:56:44,adofo_vibes,"RT @DeadlineDayLive: 🚨 Jorge Mendes offered Inter Milan the chance to sign Cristiano Ronaldo but they rejected him. 

(Source: La Repubblic…"
111,2022-06-28 09:56:43,kusssman,"@77_Kiah Chaii how I go take do this one now 
Davido slander and Ronaldo slander. https://t.co/Jh9zgM6F47"
112,2022-06-28 09:56:42,Princealvin7708,"RT @themkyounng: Chacha Eke Faani dismisses claims her marriage crashed due to domestic violence, says she has been diagnosed to be bipolar…"
113,2022-06-28 09:56:41,misumi_diana,RT @cr7raprhymes: Cristiano Ronaldo is building a monster no one is ready for 👀⏳ https://t.co/0pJQhXFtnp
114,2022-06-28 09:56:40,Justice25023533,RT @goal: What was Cristiano Ronaldo's best attacking trio? 🤔 https://t.co/ZgGlW2m7ht
115,2022-06-28 09:56:40,ludoo_juro,"RT @_BeFoot: Ce jour-là, Cristiano Ronaldo n'a pas vu le jour face à Ashley Cole 😳

🎥 @EURO2024

https://t.co/04OU8DX8Fs"
116,2022-06-28 09:56:39,Etleau,"@ElMelchismo @dembouz35 @ActuFoot_ @TheSunFootball Grosse masterclass de Ronaldo en LDC :
Wolfsburg 2016
Bayern 2017
Atletico 2017 
Juventus 2017
Juventus 2018
Atletico 2019
Arsenal 2009
Bayern 2014
Chelsea 2008
Grosse masterclass Messi en LDC 
Réal 2011
Bayern 2015
United 2011
Arsenal 2010
10-4"
117,2022-06-28 09:56:39,Hugo_Mlh,"RT @LMDFoot_: Omar Da Fonseca : ""Benzema joue le meilleur football de sa carrière. Avec Cristiano Ronaldo, c'était un accompagnateur et le…"
118,2022-06-28 09:56:37,marcauthor,"RT @flyingronaldo: Children's book review. 
""Ronaldo: Scandal at the Reindeer Flying Academy is the 5th book in this children's adventure s…"
119,2022-06-28 09:56:36,garryhood1872,"Imagine it was Rooney - Ronaldo - Benzema

Dynamite https://t.co/aQkBrIdwn7"
120,2022-06-28 09:56:35,IamMassiv,RT @cr7raprhymes: Cristiano Ronaldo is building a monster no one is ready for 👀⏳ https://t.co/0pJQhXFtnp
121,2022-06-28 09:56:35,obasagodwin,RT @Comrade_Sholley: You are just 19 but you have touched more balls than Ronaldo
122,2022-06-28 09:56:34,AsomahClement,"RT @JayAAnnan: Uncle why?
😃😃

Arise Ghana Prison Break Slim Ronaldo https://t.co/YdyQn6voxF"
123,2022-06-28 09:56:34,LuckyNBUDA84,"RT @IniestaVision: Putting my pro-Messi/Barca bias aside, I admit it’s crazy how Cristiano Ronaldo played 3 different positions in his care…"
124,2022-06-28 09:56:33,julsparks,"RT @bamalli_sadiya: Who wants a sugar Babe 🍑 😋 and I love Wizkid, Davido, Ronaldo and Rihanna Too. https://t.co/ZX7h7r6J5h"
125,2022-06-28 09:56:33,kidobi_,RT @TeamCRonaldo: That night when Cristiano Ronaldo silenced the Parc des Princes 🤫 https://t.co/0qZyjVrCJz
126,2022-06-28 09:56:33,Rangnazi,RT @laligafrauds: Cristiano Ronaldo - Majestic Stepovers https://t.co/SX2eBZ1TJb
127,2022-06-28 09:56:32,jeyovAfrica,RT @goal: What was Cristiano Ronaldo's best attacking trio? 🤔 https://t.co/ZgGlW2m7ht
128,2022-06-28 09:56:31,Jireh_tbr,"RT @LMDFoot_: Omar Da Fonseca : ""Benzema joue le meilleur football de sa carrière. Avec Cristiano Ronaldo, c'était un accompagnateur et le…"
129,2022-06-28 09:56:31,doktorn69,@versermfc @lfcturboo @AyushThakur42 @bottlecelonafan @FCB_OFICIALL @HolaSami17 ronaldo rep talking about cheating https://t.co/YUhrOBfzdm
